# Target Sample Rate: 200 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-06 23:43:56.086
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:44:00:952,-0.0023,0.0011,0.0150,0.02
23:44:00:953,-0.0118,0.0154,0.0149,0.02
23:44:00:954,-0.0023,0.0058,0.0148,0.02
23:44:00:968,-0.0071,0.0058,0.0052,0.01
23:44:00:984,-0.0072,0.0107,0.0097,0.02
23:44:00:997,-0.0072,0.0060,0.0235,0.03
23:44:00:998,-0.0167,0.0012,0.0138,0.02
23:44:00:999,-0.0072,0.0012,0.0137,0.02
23:44:01:011,-0.0025,0.0013,0.0183,0.02
23:44:01:012,-0.0072,0.0109,0.0182,0.02
23:44:01:014,-0.0073,0.0109,0.0133,0.02
23:44:01:028,-0.0073,0.0013,0.0178,0.02
23:44:01:029,-0.0120,0.0156,0.0082,0.02
